Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7",1206,7,10u,
"D1, D10, D13, D16, D2, D7",1206,6,LED_Small_Filled,
"D12, D15, D18, D4, D6, D9",D_SOD-128,6,D_Small,
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",PinHeader_1x04_P2.54mm_Vertical,12,Conn_01x04_Pin,
"J13, J14",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
"L1, L2, L3, L4, L5, L6",rounded_thin,6,rounded_coil,
"L10, L11, L12, L7, L8, L9",rounded_thicc,6,rounded_coil,
"Q1, Q2, Q3, Q4, Q5, Q6",TRANS_BUK9D23-40EX_3Dadded,6,BUK6D120,
"R1, R10, R13, R16, R3, R6",1206,6,1k,
"R12, R15, R18, R2, R5, R8",1206,6,120k,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP3, TP4, TP5, TP6, TP7, TP8, TP9",pad_dual,20,TestPoint_2Pole,
U2,RPi_Pico_SMD_TH,1,Pico,
