Designator,Mid X,Mid Y,Rotation,Layer
C1,207.216,-192.5485,90.0,top
C2,222.796,-192.5485,90.0,top
C3,237.696,-192.5485,90.0,top
C4,207.176,-210.2885,90.0,top
C5,222.366,-210.4385,90.0,top
C6,237.57,-210.19575,90.0,top
C7,245.47,-201.0685,270.0,top
D1,195.516,-188.7485,90.0,top
D10,195.476,-206.4885,90.0,top
D12,202.376,-211.1885,180.0,top
D13,210.616,-206.5385,90.0,top
D15,217.616,-211.1885,180.0,top
D16,225.77,-206.39575,90.0,top
D18,232.77,-210.99575,180.0,top
D2,211.096,-188.7485,90.0,top
D4,202.416,-193.4485,180.0,top
D6,217.996,-193.4485,180.0,top
D7,225.996,-188.6485,90.0,top
D9,232.896,-193.4485,180.0,top
J1,196.4,-178.2595,90.0,top
J10,246.227,-175.7195,90.0,top
J11,258.663,-178.2595,90.0,top
J12,258.673,-175.7195,90.0,top
J13,245.47,-193.4335,0.0,top
J14,245.47,-208.7035,180.0,top
J2,196.4,-175.7195,90.0,top
J3,208.625,-178.2595,90.0,top
J4,208.625,-175.7195,90.0,top
J5,221.071,-178.2595,90.0,top
J6,221.071,-175.7195,90.0,top
J7,233.776,-178.2595,90.0,top
J8,233.771,-175.7195,90.0,top
J9,246.217,-178.2595,90.0,top
L1,153.4,-51.3785,90.0,top
L10,269.4,-51.542,90.0,top
L11,248.4,-51.542,90.0,top
L12,227.4,-51.042,90.0,top
L2,174.4,-51.3785,90.0,top
L3,195.4,-51.3785,90.0,top
L4,195.4,-84.0785,270.0,top
L5,174.4,-84.0785,270.0,top
L6,153.4,-84.0785,270.0,top
L7,227.33,-83.4165,270.0,top
L8,248.4,-83.415,270.0,top
L9,269.4,-83.415,270.0,top
Q1,202.416,-188.7485,0.0,top
Q2,217.996,-188.7485,0.0,top
Q3,232.896,-188.7485,0.0,top
Q4,202.376,-206.5385,0.0,top
Q5,217.681,-206.5885,0.0,top
Q6,233.4,-206.7035,0.0,top
R1,195.516,-193.4485,270.0,top
R10,195.476,-211.1885,270.0,top
R12,197.776,-211.1885,270.0,top
R13,210.616,-211.1885,270.0,top
R15,213.016,-211.1885,270.0,top
R16,225.77,-210.99575,270.0,top
R18,228.17,-210.99575,270.0,top
R2,197.816,-193.4485,270.0,top
R3,211.096,-193.4485,270.0,top
R5,213.396,-193.4485,270.0,top
R6,225.996,-193.4485,270.0,top
R8,228.296,-193.4485,270.0,top
TP1,140.944,-96.623659,0.0,top
TP10,280.841,-88.2165,180.0,top
TP11,192.6076,-171.7825,90.0,top
TP12,204.825,-171.7825,90.0,top
TP13,229.971,-171.7825,90.0,top
TP14,140.4,-92.305659,0.0,top
TP15,195.15,-171.7825,90.0,top
TP16,207.365,-171.7825,90.0,top
TP17,211.937,-98.2495,0.0,top
TP18,219.811,-171.7825,90.0,top
TP19,257.403,-171.7825,90.0,top
TP2,140.944,-97.385659,0.0,top
TP20,280.898,-89.7405,180.0,top
TP3,140.4,-93.321659,0.0,top
TP4,217.271,-171.7825,90.0,top
TP5,211.937,-97.4875,0.0,top
TP6,211.994,-96.7255,0.0,top
TP7,232.511,-171.7825,90.0,top
TP8,280.898,-88.9785,180.0,top
TP9,244.957,-171.7825,90.0,top
U2,170.54,-194.4735,180.0,top
