Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100u","CAPAE660X800N",376.000000,-200.000000,-90.000000,top
"C2","100u","CAPAE660X800N",376.000000,-213.000000,90.000000,top
"C3","100n","C_0603_1608Metric",360.053600,-393.787600,-90.000000,top
"C4","100u","CAPAE660X800N",376.000000,-226.000000,-90.000000,top
"C5","100u","CAPAE660X800N",376.000000,-239.000000,-90.000000,top
"C6","20p","C_0603_1608Metric",383.153600,-388.387600,180.000000,top
"C7","20p","C_0603_1608Metric",386.403600,-384.762600,90.000000,top
"C8","100n","C_0603_1608Metric",379.978600,-381.887600,-90.000000,top
"C9","100n","C_0603_1608Metric",382.228600,-381.137600,0.000000,top
"C10","1u","C_0603_1608Metric",368.078600,-382.162600,180.000000,top
"C11","1u","C_0603_1608Metric",368.078600,-379.337600,180.000000,top
"C12","100n","C_0603_1608Metric",368.078600,-377.837600,180.000000,top
"C13","100n","C_0603_1608Metric",368.078600,-376.337600,180.000000,top
"C14","100n","C_0603_1608Metric",370.378600,-373.962600,90.000000,top
"C15","100n","C_0603_1608Metric",368.828600,-373.962600,90.000000,top
"C16","100n","C_0603_1608Metric",370.553600,-387.962600,-90.000000,top
"C17","100n","C_0603_1608Metric",368.978600,-387.962600,-90.000000,top
"C18","10u","C_1206_3216Metric",357.550100,-373.900100,-90.000000,top
"C19","10u","C_1206_3216Metric",357.550100,-369.250100,90.000000,top
"C20","100u","CAPAE660X800N",376.000000,-252.000000,-90.000000,top
"C21","100u","CAPAE660X800N",376.000000,-265.000000,-90.000000,top
"C22","100u","CAPAE660X800N",376.000000,-278.000000,-90.000000,top
"C23","100u","CAPAE660X800N",376.000000,-291.000000,-90.000000,top
"C24","100u","CAPAE660X800N",376.000000,-304.000000,-90.000000,top
"C25","100u","CAPAE660X800N",376.000000,-317.000000,-90.000000,top
"C26","100u","CAPAE660X800N",376.000000,-330.000000,-90.000000,top
"C27","100u","CAPAE660X800N",376.000000,-343.000000,-90.000000,top
"C28","100u","CAPAE660X800N",376.000000,-356.000000,-90.000000,top
"D1","LED_Small_Filled","LED_1206_3216Metric",414.050000,-381.450000,0.000000,top
"D2","CUS05S30","CUS05S30H3F",399.000000,-188.750000,-90.000000,top
"D3","LED_Small_Filled","LED_1206_3216Metric",401.268800,-381.450000,0.000000,top
"D4","LED_Small_Filled","LED_1206_3216Metric",427.050000,-381.450000,0.000000,top
"D5","LED_Small_Filled","LED_1206_3216Metric",440.050000,-381.450000,0.000000,top
"D6","LED_Small_Filled","LED_1206_3216Metric",453.050000,-381.450000,0.000000,top
